video_name,gt_label,gt_class,clear_label,clear_class,clear_conf,target_label,target_class,attacked_label,attacked_class,attacked_conf,benign_conf,psnr,ssim,mse,lpips,vmaf,time,iter_count,query_count
/work/data/kinetics400/k400_test/k400_test/test/0wddyCGKafY_000045_000055.mp4,high kick,152,high kick,152,0.6782355308532715,running on treadmill,281,high kick,152,0.271976113319397,0.271976113319397,55.75591043516273,0.9988232726328862,0.17277834804735687,0.0024600571487098932,99.82177,64.67612385749817,20,0
/work/data/kinetics400/k400_test/k400_test/test/2QchZjI9t8Y_000026_000036.mp4,drinking beer,101,sneezing,319,0.06855294853448868,deadlifting,88,deadlifting,88,0.10141143947839737,0.07602670788764954,56.101810992947264,0.998625286315987,0.1595509011954718,0.0014701483305543661,99.805019,53.33932089805603,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Taqg91Q2gc_000086_000096.mp4,swimming butterfly stroke,341,swimming butterfly stroke,341,0.797337532043457,hula hooping,159,swimming butterfly stroke,341,0.5003716349601746,0.5003716349601746,57.05992692916713,0.9993978298979801,0.12796395898685284,0.0005111934733577073,99.823291,58.33009624481201,20,0
/work/data/kinetics400/k400_test/k400_test/test/1ttoN9ctd0k_000053_000063.mp4,running on treadmill,281,running on treadmill,281,0.9063767194747925,bee keeping,17,running on treadmill,281,0.7106916308403015,0.7106916308403015,55.88873621783148,0.9988620239380392,0.16757403961525297,0.00359351490624249,98.835345,59.262489557266235,20,0
/work/data/kinetics400/k400_test/k400_test/test/1oLzc8GaLy8_000029_000039.mp4,blasting sand,23,blasting sand,23,0.9083936214447021,ski jumping,307,blasting sand,23,0.7454909086227417,0.7454909086227417,56.55316631264357,0.9987953907618781,0.14380160376740864,0.004488915670663118,81.766846,59.120702028274536,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Ar5MuXh6VI_000004_000014.mp4,hockey stop,154,hockey stop,154,0.8387623429298401,playing kickball,237,playing kickball,237,0.25814157724380493,0.12414038181304932,56.72165142972573,0.9988867596510929,0.13832963082582836,0.006421088241040707,99.711,55.47605562210083,20,0
/work/data/kinetics400/k400_test/k400_test/test/1eyGF8mfNQw_000194_000204.mp4,rock climbing,278,rock climbing,278,0.8093399405479431,planting trees,215,slacklining,313,0.22281990945339203,0.004195049405097961,56.17051957311483,0.9990447719691136,0.15704655119409408,0.0021070109214633703,98.056281,47.194072008132935,20,0
/work/data/kinetics400/k400_test/k400_test/test/1q78VQqIUbI_000203_000213.mp4,dancing charleston,85,dancing charleston,85,0.8985596895217896,air drumming,1,air drumming,1,0.6268938779830933,0.02936423197388649,57.820025078639794,0.9983148449223377,0.10741819563413775,0.0005008644075132906,99.63857,38.23705005645752,16,0
/work/data/kinetics400/k400_test/k400_test/test/0S4fymrUcyc_000007_000017.mp4,sword fighting,345,sword fighting,345,0.9035903811454773,playing monopoly,238,sword fighting,345,0.6753538846969604,0.6753538846969604,57.13887353021508,0.9990322347573651,0.1256588288806031,0.0008907654555514455,99.820904,61.31230640411377,20,0
/work/data/kinetics400/k400_test/k400_test/test/-RRtSAgGApc_000016_000026.mp4,cutting nails,81,cutting nails,81,0.8867837190628052,dying hair,108,cutting nails,81,0.22019384801387787,0.22019384801387787,55.53470507340088,0.9982111027635977,0.18180668726734214,0.00292557617649436,99.771508,58.242685079574585,20,0
/work/data/kinetics400/k400_test/k400_test/test/-Nj3XmZ7YBM_000107_000117.mp4,changing oil,52,changing oil,52,0.8866711854934692,playing controller,226,changing oil,52,0.8106356859207153,0.8106356859207153,57.055129626381316,0.9991381758977955,0.12810538860671347,0.0006692028837278485,99.170787,59.145806312561035,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pBiJnwK2oc_000050_000060.mp4,cleaning toilet,64,cleaning toilet,64,0.9152888059616089,playing cards,222,cleaning toilet,64,0.39478835463523865,0.39478835463523865,58.22993994859316,0.9991234421347402,0.09774315786426137,0.001294477260671556,99.321734,60.8386709690094,20,0
/work/data/kinetics400/k400_test/k400_test/test/-08En2aQklI_000233_000243.mp4,building cabinet,38,building cabinet,38,0.899592936038971,cleaning gutters,61,building cabinet,38,0.8627176284790039,0.8627176284790039,57.352153487377315,0.9990154014705672,0.11963686169530072,0.0005763336666859686,99.465642,55.08373689651489,20,0
/work/data/kinetics400/k400_test/k400_test/test/-IHwhSActzk_000030_000040.mp4,juggling fire,170,juggling fire,170,0.9186628460884094,drinking beer,101,juggling fire,170,0.8517360091209412,0.8517360091209412,57.44342385768867,0.9988370040529604,0.1171488352793959,0.0017489013262093067,99.812726,60.5954110622406,20,0
/work/data/kinetics400/k400_test/k400_test/test/0nE03ePMHI8_000029_000039.mp4,playing clarinet,225,playing recorder,243,0.21274058520793915,tango dancing,348,playing clarinet,225,0.2672000527381897,0.061933767050504684,55.86893472135954,0.9989753293600818,0.16833983173239753,0.0006571125704795122,99.588974,59.902183055877686,20,0
/work/data/kinetics400/k400_test/k400_test/test/-8Appls4ZFg_000236_000246.mp4,making pizza,188,making pizza,188,0.9079875946044922,tying bow tie,368,making pizza,188,0.8290032148361206,0.8290032148361206,56.83291498235201,0.9991096168737248,0.134830722781995,0.0007897492032498121,99.826315,55.48113417625427,20,0
/work/data/kinetics400/k400_test/k400_test/test/-0tnFi1az8k_000014_000024.mp4,bench pressing,19,bench pressing,19,0.8953980207443237,barbequing,14,bench pressing,19,0.8260008096694946,0.8260008096694946,56.66333686539947,0.99921386923284,0.140199567643722,0.000623173953499645,98.79697,58.02388858795166,20,0
/work/data/kinetics400/k400_test/k400_test/test/-ek3zFzo560_000537_000547.mp4,answering questions,2,answering questions,2,0.79793781042099,drinking beer,101,answering questions,2,0.7151543498039246,0.7151543498039246,58.06253925403588,0.9993927059221255,0.10158426331606832,0.0008551814826205373,97.37405,61.55251932144165,20,0
/work/data/kinetics400/k400_test/k400_test/test/-zWLKc6CjTY_000056_000066.mp4,riding unicycle,275,riding unicycle,275,0.9093335866928101,passing American football (in game),208,riding unicycle,275,0.686706006526947,0.686706006526947,56.513070049163986,0.9987211238889816,0.14513540058564958,0.005347950849682093,98.29773,59.36650896072388,20,0
/work/data/kinetics400/k400_test/k400_test/test/0DqjuG09Xls_000122_000132.mp4,testifying,354,testifying,354,0.8851317763328552,playing cards,222,testifying,354,0.7117478251457214,0.7117478251457214,57.26019275006663,0.9990759720488362,0.1221971524963424,0.0021224780939519405,97.375314,61.31689715385437,20,0
/work/data/kinetics400/k400_test/k400_test/test/0LGDPVwWMhg_000009_000019.mp4,swing dancing,342,swing dancing,342,0.7521217465400696,testifying,354,swing dancing,342,0.22795407474040985,0.22795407474040985,56.58942570883886,0.9991243447105725,0.1426059972392893,0.0006389656919054687,99.822159,61.95316958427429,20,0
/work/data/kinetics400/k400_test/k400_test/test/-pyFr1WZPbM_000032_000042.mp4,cutting watermelon,83,cutting watermelon,83,0.8738051652908325,eating cake,110,cutting watermelon,83,0.790495753288269,0.790495753288269,56.97893179025216,0.9989238232760298,0.13037285671547583,0.0006901592714712024,99.799463,58.50643062591553,20,0
/work/data/kinetics400/k400_test/k400_test/test/1yYHLBmC3f4_000003_000013.mp4,climbing a rope,66,climbing a rope,66,0.8924902677536011,tying bow tie,368,climbing a rope,66,0.8729928731918335,0.8729928731918335,56.484948250125704,0.9985924220766037,0.14607824274477008,0.0038203697185963392,98.0957,62.956156969070435,20,0
/work/data/kinetics400/k400_test/k400_test/test/0GesW7F0eN8_000011_000021.mp4,pushing wheelchair,263,pushing wheelchair,263,0.9110422134399414,drinking beer,101,opening bottle,203,0.47241100668907166,0.26360177993774414,56.358200616718996,0.9988395611234107,0.15040431608783397,0.002736198017373681,99.823443,61.72608828544617,20,0
/work/data/kinetics400/k400_test/k400_test/test/-dhP2AH0eqI_000141_000151.mp4,checking tires,54,checking tires,54,0.918096661567688,bending metal,21,tying knot (not on a tie),369,0.32072675228118896,0.052374981343746185,56.27024574561911,0.9986833598507809,0.15348141211808658,0.001775090815499425,99.307694,63.25136590003967,20,0
/work/data/kinetics400/k400_test/k400_test/test/14Z2DC05cIg_000019_000029.mp4,playing kickball,237,playing kickball,237,0.8291991353034973,vault,376,catching or throwing softball,50,0.48867928981781006,0.0596858449280262,57.09963913225628,0.9991346075787353,0.12679918076922336,0.000932855240534991,99.611386,64.65047407150269,20,0
/work/data/kinetics400/k400_test/k400_test/test/1DzvlrKhmZI_000002_000012.mp4,shaking head,289,shaking head,289,0.8002538084983826,skipping rope,311,shaking head,289,0.15336023271083832,0.15336023271083832,55.9900100233605,0.9989942528013785,0.16371156438667897,0.003693036502227187,97.073783,48.443171977996826,20,0
/work/data/kinetics400/k400_test/k400_test/test/2UFYQtLCPZ8_000136_000146.mp4,massaging person's head,196,massaging person's head,196,0.8921206593513489,waxing legs,389,getting a haircut,138,0.2098868191242218,0.10516362637281418,56.52027295550589,0.9990663239567766,0.1448948886038578,0.0003686302516143769,99.735038,63.10425806045532,20,0
/work/data/kinetics400/k400_test/k400_test/test/1LWUlv7twOg_000057_000067.mp4,answering questions,2,answering questions,2,0.3519432544708252,reading newspaper,265,answering questions,2,0.1605786681175232,0.1605786681175232,56.9203074160118,0.9988529711531042,0.13214466042510695,0.002479993039742112,97.805045,60.06329584121704,20,0
/work/data/kinetics400/k400_test/k400_test/test/0YhNlD9Z5pw_000016_000026.mp4,shaking head,289,shaking head,289,0.20561519265174866,training dog,363,shaking head,289,0.131153866648674,0.131153866648674,54.9493232898785,0.9983014999325378,0.20804056850245664,0.004014000296592712,99.758795,53.06659746170044,20,0
/work/data/kinetics400/k400_test/k400_test/test/0hu29nUZELQ_000001_000011.mp4,mowing lawn,201,mowing lawn,201,0.9028010368347168,unloading truck,372,mowing lawn,201,0.7458616495132446,0.7458616495132446,55.114924063727535,0.9995048835950093,0.20025711466580431,0.0016333370003849268,99.820958,61.07422971725464,20,0
/work/data/kinetics400/k400_test/k400_test/test/11xzcHo4Ts8_000000_000010.mp4,tickling,359,tickling,359,0.7297137975692749,cartwheeling,45,tickling,359,0.027013443410396576,0.027013443410396576,54.275540837357504,0.9982817222573567,0.242955243845218,0.005026243627071381,99.81134,58.455769777297974,20,0
/work/data/kinetics400/k400_test/k400_test/test/0vJAFezLPhI_000021_000031.mp4,snowmobiling,324,snowmobiling,324,0.9111393690109253,kitesurfing,177,snowmobiling,324,0.8899892568588257,0.8899892568588257,58.026418409796044,0.9991086141822043,0.10243267630832181,0.000899093400221318,99.825746,58.88693308830261,20,0
