model,attack,test_dataset,time,mean_time,mean_iterations,eps,iter,mean_psnr,mean_vmaf,clear_correct,attacked_success,target_success,num_total,metric_workers
timesformer,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,172.5796,2.7617,10.0,16.0,10,26.03612551496392,70.0093474347826,23,3,0,30,1
tsmnonlocal,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,169.4722,3.0869,10.0,16.0,10,26.146059039711524,70.62672311111112,18,15,0,30,1
actionclip,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,641.9393,4.7157,10.0,16.0,10,29.169235283810714,77.04140839130434,23,0,0,30,1
tsm,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,345.8386,3.9161,10.0,16.0,10,26.244117301287222,69.63478182352941,17,6,0,30,1
tsn,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,521.2324,4.1492,10.0,16.0,10,28.153875827533646,78.73606505,20,1,0,30,1
uniformerv2,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,635.8485,4.5762,10.0,16.0,10,29.2091752421687,77.23536746153847,26,0,0,30,1
onepeace,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,639.2718,6.4533,10.0,16.0,10,29.17809131288846,82.254424125,24,1,0,30,1
amd,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,975.1812,6.3744,10.0,16.0,10,30.945149347468,84.29017531818182,22,1,0,30,1
tadaformer,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,1252.9151,8.4621,10.0,16.0,10,32.24336922765075,88.22838748,25,0,0,30,1
internvideo2,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,336.7364,4.3439,10.0,16.0,10,26.178378192620823,56.16066789285714,28,1,0,30,1
umt,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,630.3307,0.0,0.0,16.0,10,0.0,0.0,0,0,0,30,1
ila,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,170.8961,3.0077,10.0,16.0,10,26.058525097574858,71.00270304166668,24,6,0,30,1
slowonly,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,1548.2263,8.5745,10.0,16.0,10,33.20351821195043,92.15772111764704,17,1,0,30,1
videomae,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,1560.2972,8.1974,10.0,16.0,10,33.21348135051572,91.39864634782609,23,1,0,30,1
tpn,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,1546.6097,8.333,10.0,16.0,10,33.27263320672249,92.72454264999999,20,0,0,30,1
videomaev2,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,2679.3052,18.8472,10.0,16.0,10,33.20613085006257,91.44435325925926,27,1,0,30,1
c2d,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,1619.372,8.7572,10.0,16.0,10,33.15792704709466,92.61218809090907,22,2,0,30,1
r2plus1d,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,1558.5739,8.2976,10.0,16.0,10,33.244813394361245,93.3080203076923,13,0,0,30,1
tanet,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,1565.1882,9.2975,10.0,16.0,10,33.256789708932466,92.30689381250001,16,0,0,30,1
uniformer,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,2662.7216,12.2993,10.0,16.0,10,35.26144747412232,94.56873879166666,24,0,0,30,1
videoswin,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,2594.907,12.8965,10.0,16.0,10,35.27394873568261,93.96388914285714,21,1,0,30,1
mvitv2,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,3280.7315,13.5739,10.0,16.0,10,36.238584434358806,95.20513329166668,24,0,0,30,1
x3d,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,3385.4564,16.453,10.0,16.0,10,36.238772981902514,95.62410833333333,21,0,0,30,1
csn,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,6382.079,9.3472,10.0,16.0,10,39.33641595881203,89.64217249999999,2,0,0,30,1
i3d,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,6503.5287,27.1766,10.0,16.0,10,39.23406444364338,96.92532336842106,19,1,0,30,1
i3dnonlocal,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,6216.4897,24.0056,10.0,16.0,10,39.271645134703846,97.47810663636365,11,0,0,30,1
internvideo,bmtc_untarget_crop_resize_adaptive,Kinetics400Dataset,321.111,3.2077,10.0,16.0,10,26.11906531682401,56.67784599999999,20,1,0,30,1
tsmnonlocal,bmtc_untarget_flip_adaptive,Kinetics400Dataset,169.9315,2.8916,10.0,16.0,10,26.118126591847226,70.49377215789474,19,18,0,30,1
ila,bmtc_untarget_flip_adaptive,Kinetics400Dataset,172.264,3.0387,10.0,16.0,10,26.088094594449572,71.56489734782609,23,4,0,30,1
timesformer,bmtc_untarget_flip_adaptive,Kinetics400Dataset,170.067,2.7995,10.0,16.0,10,26.03612551496392,70.0093474347826,23,2,0,30,1
tsm,bmtc_untarget_flip_adaptive,Kinetics400Dataset,342.6067,3.8197,10.0,16.0,10,26.24862292597337,70.040570125,16,8,0,30,1
tsn,bmtc_untarget_flip_adaptive,Kinetics400Dataset,341.3552,4.0075,10.0,16.0,10,28.19968128536341,77.56004120000001,15,1,0,21,1
actionclip,bmtc_untarget_flip_adaptive,Kinetics400Dataset,629.7667,4.576,10.0,16.0,10,29.20370623210503,77.17505126086957,23,1,0,30,1
uniformerv2,bmtc_untarget_flip_adaptive,Kinetics400Dataset,638.7012,4.5621,10.0,16.0,10,29.190005890117124,77.2968344074074,27,2,0,30,1
amd,bmtc_untarget_flip_adaptive,Kinetics400Dataset,954.0321,5.9939,10.0,16.0,10,30.93004270528389,84.23567069999999,20,0,0,30,1
tadaformer,bmtc_untarget_flip_adaptive,Kinetics400Dataset,1250.8685,7.9008,10.0,16.0,10,32.23787454080913,88.16943542307693,26,2,0,30,1
