model,attack,test_dataset,time,mean_time,mean_iterations,eps,iter,mean_psnr,mean_vmaf,clear_correct,attacked_success,target_success,num_total,metric_workers
timesformer,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,251.7353,2.0231,13.68,8.0,20,31.87004641950483,89.38433424358969,78,69,67,100,12
tsn,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,435.554,3.6852,19.39,8.0,20,34.02059239406744,98.1514854637681,69,46,39,100,12
tsmnonlocal,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,678.8616,6.3751,16.45,8.0,20,31.050627090330078,92.39624565151517,66,60,58,100,12
ila,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,756.3828,7.1192,18.25,8.0,20,31.075204119499215,94.9499106506024,83,62,62,100,12
uniformerv2,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,708.1223,6.4538,16.18,8.0,20,31.087032288468876,87.6679288045977,87,82,82,100,12
amd,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,735.6182,6.5733,11.08,8.0,20,32.45508295307009,85.02242651282052,78,77,77,100,12
videomae,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1356.0256,12.5897,13.58,8.0,20,32.03501850208085,88.81637908235291,85,79,77,100,12
tpn,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1312.0282,12.2588,14.52,8.0,20,32.01675817275111,92.72707133802815,71,57,57,100,12
tsm,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,825.326,7.9709,15.6,8.0,20,31.62815646452082,79.96984050025365,65,50,50,100,12
tadaformer,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,3051.3717,29.6195,19.89,8.0,20,30.96570218220201,82.42138406896552,87,34,24,100,12
slowonly,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,2549.2982,24.544,20.0,8.0,20,33.19453320825406,96.94897326190475,42,0,0,100,12
onepeace,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,5511.6682,54.6812,19.89,8.0,20,33.414016808109416,96.34818975675675,74,35,0,100,12
videomaev2,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1468.0334,13.5801,14.72,8.0,20,31.604080636676215,88.25028367777779,90,76,75,100,12
c2d,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1060.7391,9.7359,15.47,8.0,20,31.462246120583927,94.62801706666666,75,74,74,100,12
r2plus1d,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1156.2934,10.6577,15.92,8.0,20,31.25664859717291,91.1810439607843,51,51,48,100,12
tanet,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1652.765,16.0035,16.35,8.0,20,31.320444914010118,88.24707179397906,68,64,60,100,12
uniformer,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1488.0942,13.5708,16.43,8.0,20,33.63223200196644,95.22763199999997,80,70,64,100,12
mvitv2,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1530.9754,13.5356,12.36,8.0,20,34.18496075274327,90.24240116049383,81,74,72,100,12
videoswin,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,4088.4508,39.8389,18.15,8.0,20,30.9044633108791,88.82818672619045,84,54,45,100,12
actionclip,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,436.0006,3.6645,20.0,8.0,20,34.484420224647586,93.47037321212122,66,66,64,100,12
x3d,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,1809.2797,17.3084,15.04,8.0,20,31.914497101126084,90.40619136486485,74,67,66,100,12
i3d,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,2530.5268,16.3207,13.41,8.0,20,31.827997172387175,84.2833980945946,74,72,72,100,12
internvideo,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,677.0926,5.9868,10.44,8.0,20,35.301686236351905,90.81668932000001,75,66,53,100,12
i3dnonlocal,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,4225.3717,39.7116,15.65,8.0,20,31.593982755235167,83.77540688235297,34,34,34,100,12
slowfast,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,4302.3222,37.4484,13.25,8.0,20,32.29789125566524,76.9141767704918,61,54,52,100,12
csn,amifgsm_target_crop_resize_adaptive,Kinetics400Dataset,4247.6302,87.1395,20.0,8.0,20,0.0,99.858368,1,1,0,100,12
